"date","LO3","Tx","Gh","RH","SR","ST","TC","U10","o3"
2000-06-01,34.7963382445376,294.662658691406,196.160153202573,73.9756469726562,285.85,290.675475260417,0.300125122070312,2.58606156126322,48.7416039346933
2000-06-02,48.7416039346933,299.446594238281,172.398526899884,61.5355453491211,302.303333333333,301.024614800347,0.146148681640625,2.27979511017137,56.0008860541222
2000-06-03,56.0008860541222,301.071411132812,150.244830196624,58.3332710266113,249.222222222222,329.711260850694,0.205276489257812,1.59809041230402,64.8234957151472
2000-06-04,64.8234957151472,298.931030273438,143.991770643285,62.5989265441895,262.288888888889,331.156730685764,0.325775146484375,1.84631581541158,57.7405884898967
2000-06-05,57.7405884898967,298.231384277344,129.520404248414,69.8745880126953,245.602222222222,331.054434678819,0.388862609863281,2.28551419248182,49.3711719462991
2000-06-06,49.3711719462991,288.00390625,168.825350012261,77.8612518310547,106.541111111111,333.983900824653,0.784194946289062,2.8728658904719,32.8762541767705
2000-06-07,32.8762541767705,290.709899902344,195.266858980667,67.9177627563477,259.244444444444,285.401828342014,0.485466003417969,2.51684321273876,47.1449605712525
2000-06-08,47.1449605712525,295.277740478516,164.001561213971,63.5523834228516,302.533333333333,288.648814019097,0.0134506225585938,2.15176409067698,61.64597591099
2000-06-09,61.64597591099,300.077819824219,116.656967452973,63.2236862182617,278.164444444444,326.470467664931,0.137557983398438,2.78830630477643,69.0599331613079
2000-06-10,69.0599331613079,297.96630859375,112.190496343445,74.7647476196289,213.724444444444,333.24947265625,0.451934814453125,2.69432399259117,63.0346533305836
2000-06-11,63.0346533305836,293.452423095703,117.72892051926,89.0992813110352,136.252222222222,345.174986979167,0.681556701660156,2.15343479489063,42.9699463969697
2000-06-12,42.9699463969697,293.875152587891,211.52481381935,71.2763290405273,231.46,325.926467013889,0.319389343261719,2.60969691314375,52.8651187524579
2000-06-13,52.8651187524579,298.290802001953,205.093095421629,66.8969955444336,253.111111111111,326.984045138889,0.265548706054688,2.56078879212484,70.3234625978727
2000-06-14,70.3234625978727,296.84033203125,198.304059335147,72.554313659668,243.22,334.027126736111,0.294319152832031,1.94619932895783,58.0518875491137
2000-06-15,58.0518875491137,295.267211914062,199.911988934577,68.7061157226562,242.088888888889,317.233502604167,0.201118469238281,3.26887211269105,36.9627489124524
2000-06-16,36.9627489124524,292.182739257812,214.74067301821,63.5718078613281,281.29,293.664672309028,0.404647827148438,3.01182902840422,56.3000090436383
