"date" "o3" "tmax" "blh" "tcc" "msl" "rh" "ssrd" "ws" "Direction"
2000-01-01 16.9899749755859 278.530578613281 351.084564208984 0.95562732219696 99664.2734375 98.5287780761719 11.4902286529541 3.97797060012817 226.303283691406
2000-01-02 18.1985454559326 280.731414794922 213.139678955078 0.909910976886749 100094.34375 96.5127487182617 28.0977210998535 2.55391812324524 203.507537841797
2000-01-03 21.5526924133301 280.279998779297 183.175140380859 0.574277341365814 99988.3359375 92.5894470214844 38.4514083862305 3.0275514125824 201.506225585938
2000-01-04 32.8246841430664 279.961791992188 564.182861328125 0.715025305747986 99498.09375 83.2945861816406 38.3281745910645 4.74823570251465 221.886474609375
2000-01-05 32.8409156799316 280.226867675781 435.723297119141 0.812621057033539 99624.671875 92.3955001831055 27.1134166717529 2.72717022895813 199.336761474609
2000-01-06 19.9538326263428 280.925872802734 189.890747070312 0.275817394256592 99403.5546875 87.0757064819336 61.9824295043945 2.72124719619751 198.908676147461
2000-01-07 21.7254295349121 279.234436035156 239.883529663086 0.781982004642487 99714.171875 95.8795700073242 19.0898361206055 3.13734602928162 205.798950195312
2000-01-08 22.4278984069824 281.608673095703 352.087524414062 0.42010360956192 99462.8046875 89.8317260742188 46.5801277160645 3.43585610389709 200.459289550781
2000-01-09 28.7643299102783 278.175354003906 419.61962890625 0.875671148300171 99534.4453125 97.1866226196289 7.85547018051147 3.47808885574341 260.623321533203
2000-01-10 16.6155319213867 276.483184814453 383.466094970703 0.540465593338013 100810.6953125 83.7864837646484 54.2070922851562 2.50569844245911 21.4936218261719
2000-01-11 20.9252281188965 275.784606933594 219.365219116211 0.0646356791257858 101025.5390625 79.918083190918 73.5078353881836 1.69481158256531 62.2457427978516
2000-01-12 19.6328067779541 275.203979492188 144.143814086914 0.00262445514090359 100360.75 82.2186660766602 74.9375305175781 0.697432816028595 104.49739074707
2000-01-13 23.69215965271 278.262756347656 153.72444152832 0.0029296965803951 99325.2421875 79.7820358276367 74.7558822631836 1.70843648910522 175.395263671875
2000-01-14 23.9159164428711 278.40478515625 130.82356262207 0.00146479986142367 99243.765625 79.5368041992188 76.1367492675781 1.93531143665314 50.9741668701172
2000-01-15 29.3073387145996 275.940673828125 394.613189697266 0.276916086673737 99823.6875 77.6101379394531 75.0469436645508 3.31422519683838 39.0453948974609
2000-01-16 22.2252922058105 273.234375 379.676910400391 0.187804535031319 100267.5703125 77.228759765625 75.6250610351562 2.24206018447876 39.75537109375
2000-01-17 23.265962600708 275.5400390625 259.826599121094 0.977905511856079 99798.7734375 86.1007843017578 17.8983764648438 3.70914483070374 237.112564086914
2000-01-18 27.3959522247314 277.936492919922 655.676391601562 0.931885242462158 99177.0546875 97.5302200317383 18.3827857971191 4.39270830154419 282.058654785156
2000-01-19 26.9865779876709 275.660583496094 347.6806640625 0.555787444114685 99877.9140625 86.8039093017578 60.9472770690918 2.1112208366394 296.468444824219
2000-01-20 21.0972938537598 275.914306640625 451.577423095703 0.89776599407196 99962.21875 94.302131652832 27.1464061737061 4.24200439453125 250.014114379883
2000-01-21 27.5783596038818 277.469421386719 618.468627929688 0.740723848342896 99563.9453125 95.9092025756836 27.2637252807617 4.88960933685303 274.024291992188
2000-01-22 28.2355003356934 274.688262939453 465.205352783203 0.809693038463593 98532.203125 96.2230453491211 22.3183917999268 3.99816274642944 231.539047241211
2000-01-23 21.8979835510254 274.526916503906 543.477233886719 0.920838296413422 98228.1484375 91.0765609741211 23.8594055175781 2.96442198753357 351.053497314453
2000-01-24 31.7430686950684 268.887451171875 349.28564453125 0.00640888139605522 99346.015625 62.2718353271484 94.3281555175781 1.18450593948364 57.7026519775391
2000-01-25 25.9999866485596 269.281311035156 323.407073974609 0 100124.140625 62.3689308166504 94.9609756469727 1.29195296764374 71.5931777954102
2000-01-26 29.9123439788818 272.579132080078 205.851196289062 0.204954385757446 100621.421875 63.4870719909668 85.7716217041016 1.7221896648407 233.194519042969
2000-01-27 27.3675994873047 274.441345214844 290.865051269531 0.362853735685349 100472.578125 65.0741119384766 89.1465225219727 2.27096557617188 233.371063232422
2000-01-28 43.249195098877 274.706909179688 571.486145019531 0.677914798259735 99523.328125 70.5350112915039 66.7521209716797 4.56254768371582 226.27783203125
2000-01-29 43.590015411377 278.8740234375 1015.88812255859 0.997253358364105 98256.546875 91.0546875 19.8789386749268 8.99747276306152 226.120147705078
2000-01-30 33.2580223083496 281.628143310547 996.300048828125 0.99951171875 98765.359375 97.0306777954102 13.1054706573486 8.4148473739624 243.433364868164
2000-01-31 29.7056369781494 280.814086914062 867.446044921875 0.978088021278381 99722.515625 93.2724838256836 27.2109680175781 6.04876136779785 234.916687011719
2000-02-01 23.9359378814697 281.947570800781 239.711929321289 0.378112733364105 99774.15625 88.4156265258789 86.5039138793945 3.05019664764404 206.352523803711
2000-02-02 36.9551315307617 280.770721435547 334.676300048828 0.409912556409836 99204.03125 85.3274002075195 32.9278411865234 3.73949289321899 240.564590454102
2000-02-03 27.744104385376 279.931396484375 422.770080566406 0.534304440021515 100432.96875 83.1335906982422 86.882682800293 3.16984057426453 250.287445068359
2000-02-04 24.7704486846924 280.930480957031 321.067993164062 0.368285536766052 100771.2890625 78.8340759277344 99.9590225219727 2.22965550422668 222.894439697266
2000-02-05 27.1348438262939 284.749755859375 191.001235961914 0.00176999496761709 100421.8515625 68.5015335083008 103.636734008789 2.23348116874695 201.059692382812
2000-02-06 40.6940498352051 287.702606201172 352.216217041016 0 99710.8046875 65.7276306152344 101.435577392578 3.84400010108948 212.937286376953
