"date","o3","LO3","tmax","rh","tcc","ssrd","Direction","ws"
2000-06-01,55.5719108581543,38.3762359619141,282.326904296875,78.3786087036133,0.93560779094696,147.366073608398,177.915725708008,7.93402242660522
2000-06-02,56.7319145202637,55.5719108581543,282.996826171875,89.2650985717773,0.962037205696106,168.001159667969,74.9636764526367,4.91297054290771
2000-06-03,54.6553688049316,56.7319145202637,282.91552734375,83.0558242797852,0.417116492986679,253.340255737305,20.7135162353516,10.1028213500977
2000-06-04,40.3631172180176,54.6553688049316,281.373779296875,76.3496780395508,0.0701906085014343,349.554107666016,7.48808288574219,15.5722026824951
2000-06-05,43.6271781921387,40.3631172180176,282.927001953125,75.525764465332,0.0821532234549522,349.634887695312,6.91201782226562,10.2563982009888
2000-06-06,56.0199127197266,43.6271781921387,283.393920898438,84.8008575439453,0.183349549770355,307.120910644531,199.20263671875,5.25532817840576
2000-06-07,47.4783821105957,56.0199127197266,283.567993164062,80.8291015625,0.534849166870117,208.341522216797,253.793762207031,6.50483989715576
2000-06-08,52.9176635742188,47.4783821105957,283.459716796875,76.6554718017578,0.210876896977425,201.10725402832,152.073059082031,4.81474637985229
2000-06-09,63.7038307189941,52.9176635742188,285.14990234375,82.7046966552734,0.0187988560646772,330.718475341797,148.004318237305,7.13607358932495
2000-06-10,66.5963287353516,63.7038307189941,284.78564453125,88.5281982421875,0.977477729320526,232.021789550781,230.205047607422,5.84233522415161
2000-06-11,45.2409858703613,66.5963287353516,283.767578125,86.9997177124023,0.387999534606934,276.429443359375,224.726440429688,6.67981672286987
2000-06-12,53.152416229248,45.2409858703613,284.489990234375,90.2368011474609,0.318664133548737,234.208969116211,194.931549072266,8.03095436096191
2000-06-13,51.7083587646484,53.152416229248,284.838623046875,88.3420715332031,0.369627863168716,215.816040039062,213.567993164062,9.72287464141846
2000-06-14,40.163516998291,51.7083587646484,284.078735351562,86.3184661865234,0.558655500411987,245.011032104492,240.776794433594,8.15448951721191
2000-06-15,39.8130302429199,40.163516998291,282.83642578125,76.4098205566406,0.940856695175171,174.369201660156,298.039733886719,8.70448112487793
2000-06-16,36.8812980651855,39.8130302429199,282.63671875,67.6161117553711,0.740845501422882,268.824768066406,309.600433349609,4.35016345977783
2000-06-17,60.8754615783691,36.8812980651855,284.484741210938,89.05224609375,0.432067185640335,256.888977050781,186.946655273438,7.39368486404419
2000-06-18,64.598747253418,60.8754615783691,284.92236328125,91.1753845214844,0.0112915942445397,338.428039550781,190.149490356445,7.42678070068359
2000-06-19,64.3951187133789,64.598747253418,285.021057128906,91.1506271362305,0.0372312776744366,351.993804931641,184.850357055664,5.44055461883545
2000-06-20,58.0881652832031,64.3951187133789,284.112915039062,92.3331069946289,0.421814501285553,302.830841064453,25.4890289306641,5.06106567382812
2000-06-21,67.4503402709961,58.0881652832031,285.156005859375,95.2025451660156,0.587524592876434,159.958251953125,154.330718994141,5.73523283004761
2000-06-22,55.5487937927246,67.4503402709961,284.563781738281,98.1353530883789,0.836305558681488,150.115249633789,153.039199829102,5.48469543457031
2000-06-23,52.3414039611816,55.5487937927246,284.7333984375,95.3193283081055,0.57177722454071,285.483673095703,203.54216003418,4.73991537094116
2000-06-24,47.9972267150879,52.3414039611816,284.059204101562,92.1889038085938,0.99951171875,172.846725463867,341.210754394531,2.85219645500183
2000-06-25,45.9758605957031,47.9972267150879,283.2705078125,78.9182815551758,0.99822998046875,161.198715209961,353.186279296875,12.7604417800903
2000-06-26,36.0551414489746,45.9758605957031,282.157958984375,71.9876556396484,0.998901426792145,176.503204345703,337.206787109375,9.23701477050781
2000-06-27,46.1171836853027,36.0551414489746,282.95654296875,72.3372955322266,0.46740660071373,240.167617797852,350.977203369141,2.43377780914307
2000-06-28,48.7120666503906,46.1171836853027,284.1650390625,80.6065979003906,0.0829477980732918,327.361145019531,353.256164550781,5.61293697357178
2000-06-29,53.6471481323242,48.7120666503906,285.11474609375,87.1703643798828,0,355.373107910156,1.10781860351562,7.54641914367676
2000-06-30,47.1583633422852,53.6471481323242,285.825073242188,90.5417709350586,0.583985149860382,157.968185424805,225.793823242188,2.95235514640808
2000-07-01,53.5831680297852,47.1583633422852,285.372924804688,93.1000366210938,0.632692098617554,261.31982421875,334.830688476562,5.30949735641479
2000-07-02,46.2952041625977,53.5831680297852,285.016784667969,95.0436248779297,0.299987941980362,305.240203857422,348.929473876953,3.71506905555725
2000-07-03,48.3677444458008,46.2952041625977,285.099426269531,94.050178527832,0.341249525547028,259.241455078125,24.9131927490234,4.96624279022217
2000-07-04,46.8952293395996,48.3677444458008,284.925048828125,93.6253433227539,0.870241582393646,69.3997955322266,24.9967956542969,6.75221061706543
2000-07-05,36.5538597106934,46.8952293395996,284.686767578125,85.4673538208008,0.795900344848633,228.531265258789,2.97761535644531,14.7705125808716
2000-07-06,31.158992767334,36.5538597106934,283.290832519531,76.1863403320312,1,145.784805297852,349.71533203125,15.9454698562622
2000-07-07,29.6244029998779,31.158992767334,283.070739746094,79.1815490722656,0.9993896484375,137.695053100586,337.402618408203,12.4872379302979
2000-07-08,29.7913990020752,29.6244029998779,282.873840332031,70.9092712402344,0.978943109512329,197.153289794922,341.668884277344,7.12880086898804
2000-07-09,31.9569969177246,29.7913990020752,284.245361328125,84.0356674194336,0.968750894069672,114.279594421387,348.722229003906,9.1110897064209
2000-07-10,32.1112670898438,31.9569969177246,284.51318359375,83.5796661376953,0.963317930698395,144.999267578125,356.334197998047,12.2841463088989
